SK_ID_CURR,ext_source_3,ext_source_2,ext_source_1,days_birth,days_employed,pourcentage_jours_employes,region_rating_client_w_city,region_rating_client,name_income_type_working,days_last_phone_change,code_gender_m,code_gender_f,name_education_type_higher_education,days_id_publish,reg_city_not_work_city,name_education_type_secondary__secondary_special,flag_document_3,name_income_type_pensioner,flag_emp_phone,organization_type_xna,days_employed_anom,occupation_type_laborers,reg_city_not_live_city,emergencystate_mode_no,floorsmax_avg,days_registration,floorsmax_medi,floorsmax_mode,amt_goods_price,own_car_age,housetype_mode_block_of_flats,region_population_relative,name_housing_type_with_parents,def_30_cnt_social_circle,elevators_avg,wallsmaterial_mode_panel,elevators_medi,organization_type_selfemployed,live_city_not_work_city,def_60_cnt_social_circle,flag_work_phone,totalarea_mode,elevators_mode,name_contract_type,livingarea_avg,livingarea_medi,amt_credit,name_housing_type_house__apartment,flag_document_6,floorsmin_avg,occupation_type_lowskill_laborers,floorsmin_medi,livingarea_mode,name_family_status_single__not_married,floorsmin_mode,apartments_medi,apartments_avg,occupation_type_drivers,hour_appr_process_start,apartments_mode,flag_own_car,name_income_type_state_servant,years_build_avg,years_build_medi,name_family_status_married,organization_type_business_entity_type_3,years_build_mode,name_family_status_widow,basementarea_avg,fondkapremont_mode_reg_oper_account,occupation_type_accountants,cnt_children,basementarea_medi,occupation_type_core_staff,name_family_status_civil_marriage,occupation_type_managers,commonarea_avg,amt_req_credit_bureau_year,commonarea_medi,livingapartments_avg,organization_type_construction,livingapartments_medi,flag_phone,occupation_type_sales_staff,livingapartments_mode,basementarea_mode,entrances_medi,entrances_avg,name_housing_type_rented_apartment,commonarea_mode,entrances_mode,occupation_type_security_staff,organization_type_transport_type_3,landarea_medi,nonlivingarea_avg,pourcentage_revenu_rente,landarea_avg,nonlivingarea_medi,landarea_mode
118148,0.6389352972546337,0.6649507479855267,0.5183177172283882,0.20146561443066513,0.8444059848146495,0.6543402231573388,0.5,0.5,1.0,0.43918918918918926,0.0,1.0,0.0,0.8453522300958732,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1667,0.5926556420233463,0.1667,0.1667,0.026936026936026935,0.09890109890109891,0.0,0.06955329696197624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0688,0.0,0.0,0.0745,0.0749,0.030737078651685387,0.0,0.0,0.2083,0.0,0.2083,0.0731,0.0,0.2083,0.0864,0.0876,0.0,0.4782608695652174,0.084,0.0,0.0,0.7552,0.7585,1.0,1.0,0.7648,0.0,0.0763,0.0,0.0,0.10526315789473684,0.0758,0.0,0.0,0.0,0.0211,0.04,0.0208,0.0756,0.0,0.0761,0.0,0.0,0.0771,0.0746,0.1379,0.1379,1.0,0.019,0.1379,0.0,0.0,0.0487,0.0036,0.07927326490783929,0.0481,0.0031,0.0458
406623,0.4114447370895766,0.85950756545251,0.5183177172283882,0.3671927846674182,0.59323358642251,0.28607454499078977,0.5,0.5,1.0,0.6397949673811743,0.0,1.0,1.0,0.37154369876337356,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.8165937094682231,0.3333,0.3333,0.10325476992143659,0.09890109890109891,1.0,0.123030269461907,0.0,0.0,0.04,1.0,0.04,0.0,0.0,0.0,0.0,0.057,0.0403,0.0,0.0392,0.0399,0.12921123595505618,0.0,0.0,0.375,0.0,0.375,0.0408,0.0,0.375,0.1124,0.1113,0.0,0.6086956521739131,0.1134,0.0,0.0,0.7892,0.792,1.0,0.0,0.7975,0.0,0.0529,1.0,0.0,0.05263157894736842,0.0529,0.0,0.0,0.0,0.0193,0.24,0.0195,0.0908,0.0,0.0923,0.0,0.0,0.0992,0.0549,0.0345,0.0345,0.0,0.0195,0.0345,0.0,0.0,0.0406,0.0,0.11343576338437929,0.0399,0.0,0.0408
156741,0.6546335462011076,0.3267042272913938,0.5948882412978487,0.7449267192784667,0.9079946404644931,0.8370868980106674,1.0,1.0,0.0,0.45456663560111843,0.0,1.0,0.0,0.4688064471307489,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1667,0.8067850194552529,0.1667,0.1667,0.0101010101010101,0.09890109890109891,0.0,0.27633000083081777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688,0.0,0.0,0.0745,0.0749,0.00898876404494382,1.0,1.0,0.2083,0.0,0.2083,0.0731,0.0,0.2083,0.0864,0.0876,0.0,0.2608695652173913,0.084,0.0,0.0,0.7552,0.7585,1.0,0.0,0.7648,0.0,0.0763,0.0,0.0,0.0,0.0758,0.0,0.0,0.0,0.0211,0.04,0.0208,0.0756,0.0,0.0761,0.0,0.0,0.0771,0.0746,0.1379,0.1379,0.0,0.019,0.1379,0.0,0.0,0.0487,0.0036,0.049807576849188115,0.0481,0.0031,0.0458
267445,0.4399507918807749,0.7348025348162766,0.5183177172283882,0.4957158962795941,0.8311188030370702,0.7450965314894106,0.5,0.5,0.0,0.8944547996272134,0.0,1.0,1.0,0.3709879116298457,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.7951929312581063,0.1667,0.1667,0.08529741863075196,0.09890109890109891,0.0,0.4915948932399124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0688,0.0,1.0,0.0745,0.0749,0.08426966292134831,1.0,0.0,0.2083,0.0,0.2083,0.0731,0.0,0.2083,0.0864,0.0876,0.0,0.6956521739130435,0.084,0.0,0.0,0.7552,0.7585,1.0,0.0,0.7648,0.0,0.0763,0.0,0.0,0.05263157894736842,0.0758,0.0,0.0,0.0,0.0211,0.04,0.0208,0.0756,0.0,0.0761,0.0,0.0,0.0771,0.0746,0.1379,0.1379,0.0,0.019,0.1379,0.0,0.0,0.0487,0.0036,0.07540634872572573,0.0481,0.0031,0.0458
196595,0.40397223726232,0.7654715759369586,0.3489300923105073,0.11290868094701245,0.9366346583296115,0.8359323638608155,0.5,0.5,0.0,0.8818732525629077,0.0,1.0,0.0,0.7026538835625955,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.125,0.8267266536964981,0.125,0.125,0.05723905723905724,0.09890109890109891,0.0,0.09670719211276828,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0471,0.0,1.0,0.0335,0.0341,0.056179775280898875,0.0,0.0,0.1667,0.0,0.1667,0.0349,0.0,0.1667,0.1228,0.1216,0.0,0.8260869565217391,0.1239,0.0,0.0,0.6328,0.6377,0.0,0.0,0.6472,0.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0062,0.0,0.0062,0.0992,0.0,0.1009,1.0,1.0,0.1084,0.0,0.1034,0.1034,0.0,0.0062,0.1034,0.0,0.0,0.0,0.0237,0.05911649042178532,0.0,0.0242,0.0
451281,0.5971631093494884,0.1032023272317035,0.5183177172283882,0.2211950394588501,0.9940263510495757,0.987136215696611,0.5,0.5,1.0,0.8853681267474371,0.0,1.0,0.0,0.554953452827567,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.7952739948119325,0.1667,0.1667,0.10213243546576879,0.09890109890109891,0.0,0.123030269461907,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0688,0.0,0.0,0.0745,0.0749,0.10112359550561796,1.0,0.0,0.2083,0.0,0.2083,0.0731,0.0,0.2083,0.0864,0.0876,0.0,0.4782608695652174,0.084,0.0,0.0,0.7552,0.7585,1.0,0.0,0.7648,0.0,0.0763,0.0,0.0,0.0,0.0758,0.0,0.0,0.0,0.0211,0.04,0.0208,0.0756,0.0,0.0761,0.0,0.0,0.0771,0.0746,0.1379,0.1379,0.0,0.019,0.1379,0.0,0.0,0.0487,0.0036,0.19542240867150992,0.0481,0.0031,0.0458
240966,0.4515456153692434,0.4331810248553964,0.5183177172283882,0.7741826381059752,0.9765520321572131,0.9728464069324707,0.5,1.0,0.0,0.23042870456663567,1.0,0.0,0.0,0.36612477421147693,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.6366326199740597,0.1667,0.1667,0.05274971941638608,0.09890109890109891,0.0,0.28279653272037436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688,0.0,0.0,0.0745,0.0749,0.05833033707865168,1.0,0.0,0.2083,0.0,0.2083,0.0731,0.0,0.2083,0.0864,0.0876,0.0,0.2608695652173913,0.084,0.0,0.0,0.7552,0.7585,1.0,0.0,0.7648,0.0,0.0763,0.0,0.0,0.0,0.0758,0.0,0.0,0.0,0.0211,0.16,0.0208,0.0756,0.0,0.0761,0.0,0.0,0.0771,0.0746,0.1379,0.1379,0.0,0.019,0.1379,1.0,0.0,0.0487,0.0036,0.05800624137790118,0.0481,0.0031,0.0458
231865,0.6191295048960958,0.8114616244700363,0.5183177172283882,0.32170236753100334,0.9293211255024565,0.8683635420941098,0.5,0.5,1.0,0.25069897483690584,1.0,0.0,1.0,0.4151729887453105,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1667,0.7139672503242542,0.1667,0.1667,0.30415263748597077,0.13186813186813187,0.0,0.4915948932399124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0688,0.0,0.0,0.0745,0.0749,0.3033707865168539,1.0,0.0,0.2083,0.0,0.2083,0.0731,0.0,0.2083,0.0864,0.0876,0.0,0.6956521739130435,0.084,1.0,0.0,0.7552,0.7585,1.0,1.0,0.7648,0.0,0.0763,0.0,0.0,0.0,0.0758,0.0,0.0,0.0,0.0211,0.08,0.0208,0.0756,0.0,0.0761,0.0,0.0,0.0771,0.0746,0.1379,0.1379,0.0,0.019,0.1379,0.0,0.0,0.0487,0.0036,0.08024354810427035,0.0481,0.0031,0.0458
153040,0.5971631093494884,0.7441800491105199,0.3032671481687819,0.1883878241262683,0.9762728896828942,0.946159986126534,0.5,0.5,1.0,0.6015843429636534,1.0,0.0,0.0,0.5285535639849936,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1667,0.8499918936446174,0.1667,0.1667,0.0404040404040404,0.09890109890109891,0.0,0.09748262206098202,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0688,0.0,0.0,0.0745,0.0749,0.0426629213483146,1.0,0.0,0.2083,0.0,0.2083,0.0731,0.0,0.2083,0.0864,0.0876,0.0,0.8260869565217391,0.084,0.0,0.0,0.7552,0.7585,0.0,1.0,0.7648,0.0,0.0763,0.0,0.0,0.0,0.0758,0.0,1.0,1.0,0.0211,0.04,0.0208,0.0756,0.0,0.0761,0.0,0.0,0.0771,0.0746,0.1379,0.1379,0.0,0.019,0.1379,0.0,0.0,0.0487,0.0036,0.08659684671072873,0.0481,0.0031,0.0458
449789,0.744772385125158,0.20168941802871954,0.5183177172283882,0.4142051860202931,0.8772331397945512,0.7966407546492339,1.0,1.0,1.0,0.9424510717614166,1.0,0.0,0.0,0.38849520633597323,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.9065742542153048,0.1667,0.1667,0.08417508417508417,0.17582417582417584,0.0,0.0908637735744551,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0688,0.0,0.0,0.0745,0.0749,0.12301348314606741,1.0,0.0,0.2083,0.0,0.2083,0.0731,0.0,0.2083,0.0864,0.0876,0.0,0.30434782608695654,0.084,1.0,0.0,0.7552,0.7585,1.0,1.0,0.7648,0.0,0.0763,0.0,0.0,0.05263157894736842,0.0758,0.0,0.0,0.0,0.0211,0.0,0.0208,0.0756,0.0,0.0761,0.0,0.0,0.0771,0.0746,0.1379,0.1379,0.0,0.019,0.1379,0.0,0.0,0.0487,0.0036,0.06621294505746556,0.0481,0.0031,0.0458
